pds_code	General|Category no empty cell/not merged	General|Product type  no empty cell/not merged	General|Subcategory no empty cell/not merged	Emulsifier and oil|Ratio total oil/emulsifier	Emulsifier and oil|Phospholipids g/100mL	Total Lipids g/100g product	FA_Sat g/100gFA	FA_Mono unsat g/100gFA	FA_Poly unsatg/100gFA	Pasteurization  homo|P Pasto/homo bar	Pasteurization  homo|T°C Pasto/Homo	Pasteurization|T°C Pasto	Pasteurization|Time Pasto sec	Sterilization US homo|P Sterilization US bar	Sterilization US homo|T°C Steril US	SterilizationDS homo|P Steril DS	SterilizationDS homo|T°C Steril DS	Sterilization|Direct/indirect Ste	Sterilization|F0	Sterilization|T°C Steril 	Sterilization|Time Ste sec	Protein|Type of protein	Protein|intact / hydrolysate/am acids	Protein|Prot level Nx6,25 g/100g product	Protein|casein Nx6,25g/100g product	Protein|whey protNx6,25g/100g product	Protein|SOY prot g/100g productNx6,25	Protein|PEA prot g/100g productNx6,25	Protein|Content kg/L	Stabilizers  thickners|Type	Stabilizers  thickners|Amount kg/1000L	Calcium minerals|Ca levelg/100g	Product KPI  at T=0 |dry matter g/100g	Product KPI  at T=0 |pH / Acidity	Product KPI  at T=0 |Viscosity mPas	target	Emulsifier and oil|Emulsifier_Citrem LIQUID  E472c	Emulsifier and oil|Emulsifier_Citrem POWDER  E472c	Emulsifier and oil|Emulsifier_DIMODAN  E471	Emulsifier and oil|Emulsifier_KIRNOL  E471	Emulsifier and oil|Emulsifier_LAMEMUL  E471 	Emulsifier and oil|Emulsifier_Soy lecithin LIQUID  E322	Emulsifier and oil|Emulsifier_Soy lecithin POWDER  E322	Emulsifier and oil|Emulsifier_Sunflower lecithin  E322	Emulsifier_total_amount	Emulsifier and oil|Oil_Algae oil DHA+EPA	Emulsifier and oil|Oil_Anhydrous milk fat 	Emulsifier and oil|Oil_Canola oil	Emulsifier and oil|Oil_Canola oil 	Emulsifier and oil|Oil_Coconut oil	Emulsifier and oil|Oil_Corn oil	Emulsifier and oil|Oil_EPA	Emulsifier and oil|Oil_Egg lipids	Emulsifier and oil|Oil_MCT oil	Emulsifier and oil|Oil_OB 5	Emulsifier and oil|Oil_OB Canola/HO	Emulsifier and oil|Oil_Oil Blend Preterm 3	Emulsifier and oil|Oil_Oil Tuna Fish /DHA	Emulsifier and oil|Oil_Oil arachidonic acid / ARA	Emulsifier and oil|Oil_Oil blend Acropolis & Algae oil DHA+EPA	Emulsifier and oil|Oil_Oil blend Fish DHA EPA	Emulsifier and oil|Oil_Oil evening primrose	Emulsifier and oil|Oil_Oil fish EPA:18 DHA:12	Emulsifier and oil|Oil_Organic OB POF	Emulsifier and oil|Oil_Palm oil	Emulsifier and oil|Oil_Rapeseed oil	Emulsifier and oil|Oil_Soy oil	Emulsifier and oil|Oil_Sunflower oil	Emulsifier and oil|Oil_corn oil	Oil_total_amount	Polysaccharides_Fructose	Polysaccharides_Glucose	Polysaccharides_Glucose syrup	Polysaccharides_Isomaltulose	Polysaccharides_Lactose	Polysaccharides_Liquid maltodextrin	Polysaccharides_Maltodextrin	Polysaccharides_Starch	Polysaccharides_Sucrose	Polysaccharides_Sugar	Polysaccharides_total_amount	Protein_Calcium caseinates	Protein_Casein hydrolysate	Protein_Concentrated skimmed milk	Protein_Demineralized whey permeate 125% protein ORGANIC	Protein_Demineralized whey permeate 90	Protein_IP LQD DCI 12% No premix UF	Protein_IP PWD HYDR ACID WHEY	Protein_LIsoleucine	Protein_LLeucine	Protein_LValine	Protein_Lactofidus BP POF P1	Protein_Milk Casein Isolate	Protein_Milk Protein Concentrate	Protein_Milk Protein Isolate	Protein_Milk minerals concentrates	Protein_Pea protein	Protein_Pea protein isolate	Protein_Pepti permeate	Protein_Potassium caseinate	Protein_Skimmed milk Liquid	Protein_Skimmed milk Powder ORGANIC	Protein_Sodium caseinate	Protein_Soy protein isolate	Protein_WPC	Protein_WPC80 Native 	Protein_WPC80 Native low Lactose	Protein_WPC83 Native 	Protein_WPI Acid 	Protein_WPI Native 	Protein_WPI neutralized	Protein_WPI sweet	Protein_Whey protein hydrolysate	Protein_Whey rich in milk calcium	Protein_Yoghurt powder	Protein_whey protein hydrolysate	Protein_total_amount
10103262	Adult ONS	CUBITAN		30.8823529411765		3.2254985	14.3887760423388	57.0520038116866	28.5592201459746	550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact	9.63434437669173					8.85			0.207373790322581	27.0877718748617	6.7	40.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.5	0.0	0.0	0.0	0.0	0.0	0.7506234413965087	0.0	0.0	0.0	0.24937655860349128	240.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.1
10103271	Adult ONS	CUBITAN		31.1428571428571		1.255	12.616	57.95	29.434	550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact	3.577	2.155	0.538719	3.7124e-05	0.0	8.81					6.8	15.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.7	0.0	0.0	0.0	0.0	0.0	0.6783324755532681	0.0	0.0	0.0	0.32166752444673186	155.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.7
10103278	Tube	PEPTISON MARS				1.548202899	58.2574857410049	12.068910743904	29.6736035150911	250+50	60	80.0	0.0			100+0	60	Indirect	0.0390894888382325	101.0	240.0	Dairy	Hydrolyzed	3.6257351173		3.596681919				Modified starch	20	0.07375564982	22.688307891	4.0	8.0	3.0										0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	17.62	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	215.177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	48.0
10103281	Adult ONS	CUBITAN		31.1428571428571		1.369	17.854	54.973	27.172	550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact	10.004	7.295	1.824	3.7128e-05	0.0	8.81					6.8	15.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.7	0.0	0.0	0.0	0.0	0.0	0.6783531682212931	0.0	0.0	0.0	0.321646831778707	155.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.7
10103290	Adult ONS	FORTIMEL		35.6603773584906						550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact											6.75	7.4	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9	0.0	0.0	0.0	0.0	0.0	0.4135038503850385	0.0	0.0	0.0	0.5864961496149614	72.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.38
10103294	Adult ONS	FORTIMEL		35.6603773584906		0.789157874666377	24.0445562096161	51.3025744180497	24.6528693723342	550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact	10.0009331316534								0.293083939383061	18.4745847134159	6.75	7.4	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9	0.0	0.0	0.0	0.0	0.0	0.4099335915882678	0.0	0.0	0.0	0.5900664084117321	72.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.38
10103295	Adult ONS	FORTIMEL		33.7735849056604		0.670894077839586	17.6035969009936	55.3180761176559	27.0783269813506	550+50	60	95.0	30.0			100+0	60	Indirect	15.5618057997712	127.0	240.0	Dairy	Intact	3.12180922598233								0.0927642619822438	7.81131103966619	6.75	38.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9	0.0	0.0	0.0	0.0	0.0	0.3496941045606229	0.0	0.0	0.0	0.6503058954393771	71.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.62
10103305	Tube	NUTRISON		5.64457831325301		3.12902107183099	70.4360707108026	18.6468702739723	10.9170590152251	550+50	60	125.0	30.0									Dairy	Intact		4.6490203943662							0.0754677492906385	20.4171157711925	6.9	10.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6999679795068845	0.0	0.3000320204931156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.229999999999997	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	183.5	0.49720972097209726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5027902790279029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.55
10103309	Tube	NUTRISON LOW-ENERGY MULTIFIBRE MARS		18.9310344827586		2.78233395238095	10.5773240973167	58.6726054049826	30.7500704977007	550+50	60	115.0	30.0												2.77488095238095	0.0						0.0563319288745238	16.4566954871429		11.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.45	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	131.6																																				
10103312	Adult ONS	DIASON LOW ENERGY		11.1263157894737		3.05651957975167	13.7655056725323	68.7119456313497	17.522548696118	550+50	60	85.0	30.0					Retort				Dairy	Intact	3.10614392941738	0.0	0.0						0.0640373547719053	16.6391643944389	6.6	6.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.57	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.78																																				
